"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"1001"	"MN726821"	"Rabies lyssavirus"	11598	"GenBank"	"Bos taurus"	"2018"	Kenya	
"1002"	"MN726830"	"Rabies lyssavirus"	11846	"GenBank"	"Bos taurus"	"2018"	Kenya	
"1003"	"MN726831"	"Rabies lyssavirus"	11846	"GenBank"	"Bos taurus"	"2013"	Kenya	
"1004"	"KX148207"	"Rabies lyssavirus"	11801	"GenBank"	"Homo sapiens"	"2014"	Kenya	
"1005"	"LC571945"	"Rabies lyssavirus"	11923	"GenBank"	"Homo sapiens"	"2006"	Japan	
"1006"	"LC553558"	"Rabies lyssavirus"	11927	"GenBank"	"Canis lupus"	""	Japan	
"1007"	"KX148177"	"Rabies lyssavirus"	11801	"GenBank"	"Canidae"	"1996"	Israel	
"1008"	"KX148178"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1996"	Israel	
"1009"	"KX148179"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1996"	Israel	
"1010"	"KX148180"	"Rabies lyssavirus"	11801	"GenBank"	"Canidae"	"1993"	Israel	
"1011"	"KX148181"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1996"	Israel	
"1012"	"KX148182"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1996"	Israel	
"1013"	"KX148183"	"Rabies lyssavirus"	11801	"GenBank"	"Canidae"	"1993"	Israel	
"1014"	"KX148184"	"Rabies lyssavirus"	11801	"GenBank"	"Bos taurus"	"1996"	Israel	
"1015"	"KX148191"	"Rabies lyssavirus"	11802	"GenBank"	"Canis"	"1993"	Israel	
"1016"	"KX148192"	"Rabies lyssavirus"	11802	"GenBank"	"Canis lupus familiaris"	"1993"	Israel	
"1017"	"KF154998"	"Rabies lyssavirus"	11924	"GenBank"	"Canis lupus familiaris"	"1950"	Israel	
"1018"	"KF155000"	"Rabies lyssavirus"	11923	"GenBank"	"Bos taurus"	"2010"	Iraq	
"1019"	"MK760721"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 Zanjan, Tarom
"1020"	"MK760745"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Zanjan, Khodabandeh
"1021"	"MK760737"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2013"	Iran	 Zanjan, Ijrud
"1022"	"MK760668"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2008"	Iran	 Yazd, Khatam
"1023"	"MK760740"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Shahin dezh
"1024"	"MK760669"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2008"	Iran	 West Azarbaijan, Salmas
"1025"	"MK760736"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 West Azarbaijan, Poldasht
"1026"	"MK760670"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2008"	Iran	 West Azarbaijan, Naghadeh
"1027"	"MK760674"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2008"	Iran	 West Azarbaijan, Mahabad
"1028"	"MK760741"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Mahabad
"1029"	"MK760711"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Khoy
"1030"	"MK760716"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Khoy
"1031"	"MK760743"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 West Azarbaijan, Khoy
"1032"	"MK760714"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Chaldoran
"1033"	"MK760718"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 West Azarbaijan, Chaldoran
"1034"	"MK760671"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2008"	Iran	 West Azarbaijan, Bukan
"1035"	"MK760694"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 West Azarbaijan, Bukan
"1036"	"MK760677"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Tehran, Shahriyar
"1037"	"MK760702"	"Rabies lyssavirus"	11729	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 South Khorasan, Zirkooh
"1038"	"MK760761"	"Rabies lyssavirus"	11725	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Sistan and Baluchestan, Mirjaveh
"1039"	"MK760755"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Semnan, Damghan
"1040"	"MK760729"	"Rabies lyssavirus"	11727	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Razavi Khorasan, Zaveh
"1041"	"MK760700"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2012"	Iran	 Razavi Khorasan, Sabzevar
"1042"	"MK760734"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2013"	Iran	 Razavi Khorasan, Sabzevar
"1043"	"MK760735"	"Rabies lyssavirus"	11727	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Razavi Khorasan, Mashhad
"1044"	"MK760712"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2013"	Iran	 Razavi Khorasan, Bardeskan
"1045"	"MK760681"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Qom, Salafghegan
"1046"	"MK760703"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2012"	Iran	 Qom, Qom
"1047"	"MK760704"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 Qom, Qom
"1048"	"MK760763"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 Qom, Qom
"1049"	"MK760765"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Qom, Qom
"1050"	"MK760708"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2012"	Iran	 Qazvin, Takestan
"1051"	"MK760701"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2012"	Iran	 Qazvin, Qazvin
"1052"	"MK760715"	"Rabies lyssavirus"	11723	"GenBank"	"Canis"	"2013"	Iran	 Qazvin, Avaj
"1053"	"MK760707"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 North Khorasan, Mado Smalghan
"1054"	"MK760706"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2012"	Iran	 North Khorasan, Jajrom
"1055"	"MK760723"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 North Khorasan, Faruj
"1056"	"MK760753"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2014"	Iran	 North Khorasan, Bojnourd
"1057"	"MK760731"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 North Khorasan, Ashkhaneh
"1058"	"MK760709"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 Mazandaran, Savadkooh
"1059"	"MK760766"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2015"	Iran	 Mazandaran, Behshahr
"1060"	"MK760696"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 Markazi, Arak
"1061"	"MK760697"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 Markazi, Arak
"1062"	"MK760758"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Markazi, Arak
"1063"	"MK760683"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Lorestan, Khorramabad
"1064"	"MK760750"	"Rabies lyssavirus"	11722	"GenBank"	"Martes"	"2014"	Iran	 Lorestan, Khorramabad
"1065"	"MK760673"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2008"	Iran	 Lorestan, Borujerd
"1066"	"MK760689"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2010"	Iran	 Lorestan, Borujerd
"1067"	"MK760705"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2012"	Iran	 Lorestan, Borujerd
"1068"	"MK760720"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2013"	Iran	 Kurdistan, Saqqez
"1069"	"MK760754"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Kurdistan, Saqqez
"1070"	"MK760693"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Kurdistan, Sanandaj
"1071"	"MK760726"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2013"	Iran	 Kurdistan, Kamyaran
"1072"	"MK760687"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Kurdistan, Gharveh
"1073"	"MK760699"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2012"	Iran	 Kurdistan, Bijar
"1074"	"MK760675"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2008"	Iran	 Khuzestan, Shoshtar
"1075"	"MK760760"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Khuzestan, Shoshtar
"1076"	"MK760684"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Khuzestan, Shooshdanial
"1077"	"MK760690"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2010"	Iran	 Khuzestan, Gotvand
"1078"	"MK760747"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 Khuzestan, Dezful
"1079"	"MK760756"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Khuzestan, Ahvaz
"1080"	"MK760698"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2012"	Iran	 Kermanshah, Songhor
"1081"	"MK760757"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Kermanshah, Sarepol-e Zahab
"1082"	"MK760682"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Kermanshah, Kermanshah
"1083"	"MK760710"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 Kermanshah, Kermanshah
"1084"	"MK760672"	"Rabies lyssavirus"	11723	"GenBank"	"Ovis aries"	"2008"	Iran	 Kerman, Shahr-e Babak
"1085"	"MK760678"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2009"	Iran	 Kerman, Shahr-e Babak
"1086"	"MK760692"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2009"	Iran	 Kerman, Kerman
"1087"	"MK760667"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2008"	Iran	 Kerman, Bardsir
"1088"	"MK760686"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Isfahan, Samiram
"1089"	"MK760764"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Isfahan, Isfahan
"1090"	"MK760739"	"Rabies lyssavirus"	11723	"GenBank"	"Canis"	"2013"	Iran	 Isfahan, Falavarjan
"1091"	"MK760719"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2013"	Iran	 Hormozgan, Hajiabad
"1092"	"MK760717"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 Hamadan, Razan
"1093"	"MK760748"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 Hamadan, Kabudarahang
"1094"	"MK760676"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Hamadan, Hamadan
"1095"	"MK760722"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 Hamadan, Hamadan
"1096"	"MK760738"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Hamadan, Hamadan
"1097"	"MK760679"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2008"	Iran	 Hamadan, Asadabad
"1098"	"MK760744"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 Goolestan, Gorgan
"1099"	"MK760767"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2015"	Iran	 Gilan, Roodbar
"1100"	"MK760695"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2011"	Iran	 Gilan, Masal
"1101"	"MK760732"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Fars, Shiraz
"1102"	"MK760680"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2008"	Iran	 Fars, Neyriz
"1103"	"MK760691"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 Fars, Farashband
"1104"	"MK760727"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2013"	Iran	 Fars, Eqlid
"1105"	"MK760728"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Fars, Abadeh
"1106"	"MK760724"	"Rabies lyssavirus"	11722	"GenBank"	"Canidae"	"2013"	Iran	 East Azarbaijan, Takab
"1107"	"MK760685"	"Rabies lyssavirus"	11721	"GenBank"	"Canis lupus familiaris"	"2009"	Iran	 East Azarbaijan, Sarab
"1108"	"MK760749"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 East Azarbaijan, Mianeh
"1109"	"MK760752"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 East Azarbaijan, Mianeh
"1110"	"MK760762"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2014"	Iran	 East Azarbaijan, Mianeh
"1111"	"MK760746"	"Rabies lyssavirus"	11723	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 East Azarbaijan, Marand
"1112"	"MK760751"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 East Azarbaijan, Jolfa
"1113"	"MK760713"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 East Azarbaijan, Heris
"1114"	"MK760730"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 East Azarbaijan, Heris
"1115"	"MK760725"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2013"	Iran	 East Azarbaijan, Azarshahr
"1116"	"MK760688"	"Rabies lyssavirus"	11722	"GenBank"	"Canis"	"2009"	Iran	 Chaharmahal and Bakhtiari, Lordegan
"1117"	"MK760742"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Ardabil, Khalkhal
"1118"	"MK760759"	"Rabies lyssavirus"	11723	"GenBank"	"Canidae"	"2014"	Iran	 Ardabil, Khalkhal
"1119"	"MK760733"	"Rabies lyssavirus"	11722	"GenBank"	"Canis lupus familiaris"	"2014"	Iran	 Alborz, Nazarabad
"1120"	"KX148159"	"Rabies lyssavirus"	11801	"GenBank"	"Ovis aries"	"1974"	Iran	
"1121"	"KX148185"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1996"	Iran	
"1122"	"KX148186"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1984"	Iran	
"1123"	"KX148187"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1996"	Iran	
"1124"	"KX148188"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1991"	Iran	
"1125"	"KX148189"	"Rabies lyssavirus"	11801	"GenBank"	"Canis lupus familiaris"	"1985"	Iran	
"1126"	"KX148190"	"Rabies lyssavirus"	11801	"GenBank"	"Canis"	"1976"	Iran	
"1127"	"KX148212"	"Rabies lyssavirus"	11802	"GenBank"	"Canis"	"1993"	Iran	
"1128"	"KX148266"	"Rabies lyssavirus"	11802	"GenBank"	"Canis lupus familiaris"	"2003"	Indonesia	
"1129"	"KY775603"	"Rabies lyssavirus"	11928	"GenBank"	"Boselaphus tragocamelus"	"2014"	India	
"1130"	"KY775604"	"Rabies lyssavirus"	11928	"GenBank"	"Herpestidae"	"2014"	India	
"1131"	"KX148246"	"Rabies lyssavirus"	11803	"GenBank"	"Homo sapiens"	"1997"	India	
"1132"	"EF437215"	"Rabies lyssavirus"	11928	"GenBank"	"Homo sapiens"	""	India	
"1133"	"MK598338"	"Rabies lyssavirus"	11799	"GenBank"	"Vulpes vulpes"	"2006"	Hungary	
"1134"	"MK598339"	"Rabies lyssavirus"	11799	"GenBank"	"Vulpes vulpes"	"2007"	Hungary	
"1135"	"MK598340"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2007"	Hungary	
"1136"	"MK598341"	"Rabies lyssavirus"	11799	"GenBank"	"Vulpes vulpes"	"2008"	Hungary	
"1137"	"MK598342"	"Rabies lyssavirus"	11799	"GenBank"	"Vulpes vulpes"	"2009"	Hungary	
"1138"	"MK598343"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2008"	Hungary	
"1139"	"MK598344"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2009"	Hungary	
"1140"	"MK598345"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2010"	Hungary	
"1141"	"MK598346"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2010"	Hungary	
"1142"	"MK598347"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2016"	Hungary	
"1143"	"MK598348"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2017"	Hungary	
"1144"	"MK598349"	"Rabies lyssavirus"	11798	"GenBank"	"Capra hircus"	"2017"	Hungary	
"1145"	"MK598350"	"Rabies lyssavirus"	11798	"GenBank"	"Capra hircus"	"2017"	Hungary	
"1146"	"MK598351"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1147"	"MK598352"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1148"	"MK598353"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1149"	"MK598354"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1150"	"MK598355"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1151"	"MK598356"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1152"	"MK598357"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1153"	"MK598358"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1154"	"MK598359"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1155"	"MK598360"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1156"	"MK598361"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1157"	"MK598362"	"Rabies lyssavirus"	11798	"GenBank"	"Bos taurus"	"2013"	Hungary	
"1158"	"MK598363"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1159"	"MK598364"	"Rabies lyssavirus"	11798	"GenBank"	"Bos taurus"	"2013"	Hungary	
"1160"	"MK598365"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1161"	"MK598366"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1162"	"MK598367"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1163"	"MK598368"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1164"	"MK598369"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1165"	"MK598370"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1166"	"MK598371"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1167"	"MK598372"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1168"	"MK598373"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1169"	"MK598374"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1170"	"MK598375"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1171"	"MK598376"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1172"	"MK598377"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1173"	"MK598378"	"Rabies lyssavirus"	11798	"GenBank"	"Capra hircus"	"2014"	Hungary	
"1174"	"MK598379"	"Rabies lyssavirus"	11798	"GenBank"	"Canis lupus familiaris"	"2014"	Hungary	
"1175"	"MK598380"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1176"	"MK598381"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1177"	"MK598382"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1178"	"MK598383"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1179"	"MK598384"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1180"	"MK598385"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1181"	"MK598386"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1182"	"MK598387"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1183"	"MK598388"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1184"	"MK598389"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2013"	Hungary	
"1185"	"MK598390"	"Rabies lyssavirus"	11798	"GenBank"	"Cervidae"	"2014"	Hungary	
"1186"	"MK598391"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1187"	"MK598392"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1188"	"MK598393"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1189"	"MK598394"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1190"	"MK598395"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1191"	"MK598396"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1192"	"MK598397"	"Rabies lyssavirus"	11798	"GenBank"	"Vulpes vulpes"	"2014"	Hungary	
"1193"	"MK598398"	"Rabies lyssavirus"	11796	"GenBank"	"Felis catus"	"1996"	Hungary	
"1194"	"MK111075"	"Rabies lyssavirus"	11874	"GenBank"	"Canidae"	"2015"	Hungary	
"1195"	"KX148136"	"Rabies lyssavirus"	11800	"GenBank"	"Canidae"	"1993"	Hungary	
"1196"	"KX148137"	"Rabies lyssavirus"	11800	"GenBank"	"Canidae"	"1993"	Hungary	
"1197"	"KX148138"	"Rabies lyssavirus"	11801	"GenBank"	"Canidae"	"1993"	Hungary	
"1198"	"KX148139"	"Rabies lyssavirus"	11800	"GenBank"	"Canidae"	"1993"	Hungary	
"1199"	"KX148143"	"Rabies lyssavirus"	11802	"GenBank"	"Canidae"	"1993"	Hungary	
"1200"	"KX148160"	"Rabies lyssavirus"	11801	"GenBank"	"Homo sapiens"	"1991"	Hungary	
"1201"	"EU293113"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"1990"	Guyana	
"1202"	"KX148244"	"Rabies lyssavirus"	11802	"GenBank"	"Canis lupus familiaris"	"1990"	Guinea	
"1203"	"MG458319"	"Rabies lyssavirus"	11925	"GenBank"	"Herpestidae"	"2012"	Grenada	
"1204"	"KX148105"	"Rabies lyssavirus"	11923	"GenBank"	"Canis lupus familiaris"	"1980"	Greenland	
"1205"	"LM645015"	"Rabies lyssavirus"	11922	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1206"	"LM645016"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1207"	"LM645017"	"Rabies lyssavirus"	11919	"GenBank"	"Vulpes lagopus"	"2005"	Greenland	
"1208"	"LM645018"	"Rabies lyssavirus"	11925	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1209"	"LM645019"	"Rabies lyssavirus"	11916	"GenBank"	"Vulpes lagopus"	"2010"	Greenland	
"1210"	"LM645020"	"Rabies lyssavirus"	11895	"GenBank"	"Vulpes lagopus"	"2007"	Greenland	
"1211"	"LM645021"	"Rabies lyssavirus"	11914	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1212"	"LM645022"	"Rabies lyssavirus"	11922	"GenBank"	"Canis lupus familiaris"	"2006"	Greenland	
"1213"	"LM645023"	"Rabies lyssavirus"	11916	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1214"	"LM645024"	"Rabies lyssavirus"	11916	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1215"	"LM645025"	"Rabies lyssavirus"	11902	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1216"	"LM645026"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1217"	"LM645027"	"Rabies lyssavirus"	11924	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1218"	"LM645028"	"Rabies lyssavirus"	11897	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1219"	"LM645029"	"Rabies lyssavirus"	11924	"GenBank"	"Vulpes lagopus"	"2007"	Greenland	
"1220"	"LM645030"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2007"	Greenland	
"1221"	"LM645031"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2006"	Greenland	
"1222"	"LM645032"	"Rabies lyssavirus"	11926	"GenBank"	"Vulpes lagopus"	"2010"	Greenland	
"1223"	"LM645033"	"Rabies lyssavirus"	11896	"GenBank"	"Vulpes lagopus"	"2010"	Greenland	
"1224"	"LM645034"	"Rabies lyssavirus"	11923	"GenBank"	"Vulpes lagopus"	"2009"	Greenland	
"1225"	"LM645035"	"Rabies lyssavirus"	11887	"GenBank"	"Vulpes lagopus"	"2010"	Greenland	
